REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
ORANGE,53,VILLA PARK,B1C74AB01D85D8C0E053A040810A12E1,ABK_368_5082,,VILLA PARK,A-BANK,ABK_368_5082,SUB_947_5835,947,5835,LA VETA,33.766788,-117.852243,S -- SUB-TRANSMISSION,,CKT_3369_11313,MARY,12
DESERT,1,ETIWANDA,B1C74AB01D45D8C0E053A040810A12E1,ABK_111_5096,SEC_A,ETIWANDA,A-BANK,ABK_111_5096,SUB_815_5664,815,5664,WIMBLEDON,34.048462,-117.525158,S -- SUB-TRANSMISSION,,CKT_4087_10222,LAVER,12
METRO EAST,32,PADUA,B1C83FDA0A9995B9E053A140810ACB23,ABK_314_5060,,PADUA,A-BANK,ABK_314_5060,SUB_777_5645,777,5645,LAYFAIR,34.089751,-117.769541,S -- SUB-TRANSMISSION,,CKT_1117_15704,SAM,12
METRO EAST,19,EAGLE ROCK,B1C74AB01D63D8C0E053A040810A12E1,ABK_283_5011,,EAGLE ROCK,A-BANK,ABK_283_5011,SUB_463_5201,463,5201,BEVERLY B,34.073192,-118.39702,D -- DISTRIBUTION,,CKT_2393_02652,CALAREST,4
METRO WEST,26,EL NIDO,B1C74AB01D69D8C0E053A040810A12E1,ABK_301_5023,,EL NIDO,A-BANK,ABK_301_5023,SUB_302_5023,302,5023,EL NIDO,33.896033,-118.372908,T -- TRANSMISSION,,CKT_2083_11935,MINNOW,16
METRO WEST,48,LIGHTHIPE,B1C74AB01D82D8C0E053A040810A12E1,ABK_357_5073,SEC_DEF,LIGHTHIPE,A-BANK,ABK_357_5073,SUB_877_5756,877,5756,BULLIS,33.900098,-118.206122,S -- SUB-TRANSMISSION,,CKT_3821_09640,KENWOOD,16
ORANGE,59,SANTIAGO,B1C74AB01D8AD8C0E053A040810A12E1,ABK_381_5088,SEC_A,SANTIAGO,A-BANK,ABK_381_5088,SUB_1024_5865,1024,5865,ESTRELLA,33.687516,-117.828464,S -- SUB-TRANSMISSION,,CKT_4295_07851,HALEY,12
NORTH COAST,34,ANTELOPE,B1C74AB01D72D8C0E053A040810A12E1,ABK_317_5052,,ANTELOPE,A-BANK,ABK_317_5052,SUB_700_5567,700,5567,WILSONA,34.579385,-117.719731,D -- DISTRIBUTION,,CKT_3072_05565,EASTWIND,12
SAN JOAQUIN,28,RECTOR,B1C74AB01D6BD8C0E053A040810A12E1,ABK_305_5033,,RECTOR,A-BANK,ABK_305_5033,SUB_592_5331,592,5331,VISALIA,36.32974,-119.279025,S -- SUB-TRANSMISSION,,CKT_2481_07210,GIDDINGS,12
SAN JOAQUIN,30,VESTAL,B1C74AB01D6CD8C0E053A040810A12E1,ABK_308_5035,,VESTAL,A-BANK,ABK_308_5035,SUB_563_5305,563,5305,DELANO,35.775609,-119.242611,S -- SUB-TRANSMISSION,,CKT_510_14630,RADNOR,12
METRO WEST,2,ALAMITOS,B1C74AB01D46D8C0E053A040810A12E1,ABK_119_5025,,ALAMITOS,A-BANK,ABK_119_5025,SUB_888_5768,888,5768,BROADWAY,33.766964,-118.152118,S -- SUB-TRANSMISSION,,CKT_1905_00695,ARGONNE,12
ORANGE,52,BARRE,B1C83FDA0C2895B9E053A140810ACB23,ABK_366_5081,SEC_AB,BARRE,A-BANK,ABK_366_5081,SUB_363_5081,363,5081,BARRE,33.809354,-117.982415,T -- TRANSMISSION,,CKT_4794_02986,CARNATION,12
